key,title,year,source,decision,reason,axis_primary,pass1_axis,pass2_axis,axis_agreement,preprint_inclusion_subcriterion
ouyang2022training,Training language models to follow instructions with human feedback,2022,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
stiennon2020learning,Learning to summarize with human feedback,2020,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),training-time,training-time,training-time,yes,
ziegler2019fine,Fine-tuning language models from human preferences,2019,manual-foundational,foundational,pre-2022 work essential to context; included regardless of citation threshold (§3.2),training-time,training-time,training-time,yes,
rafailov2023direct,Direct preference optimization: Your language model is secretly a reward model,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
azar2023general,A general theoretical paradigm to understand learning from human feedback,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
ethayarajh2024kto,KTO,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
hong2024orpo,ORPO,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
meng2024simpo,SimPO,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
bai2022constitutional,Constitutional AI,2022,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
lee2023rlaif,RLAIF,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
chen2024spin,Self-play fine-tuning converts weak language models to strong language models,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
yuan2024selfrewarding,Self-rewarding language models,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
munos2024nash,Nash learning from human feedback,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
wu2024sppo,Self-play preference optimization for language model alignment,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
rosset2024dno,Direct N,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
zou2023representation,Representation engineering: A top-down approach to AI,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
arditi2024refusal,Refusal in language models is mediated by a single direction,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
turner2023activation,Activation addition: Steering language models without optimization,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
dai2024safe,Safe RLHF,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
tunstall2023zephyr,Zephyr: Direct distillation of LM,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
ivison2023tulu,Camels in a changing climate: Enhancing LM,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
liu2024rso,Statistical rejection sampling improves preference optimization,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
gao2023scaling,Scaling laws for reward model overoptimization,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
tang2024gpo,Generalized preference optimization: A unified approach to offline alignment,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
chen2024dposurvey,A comprehensive survey of direct preference optimization,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
ethayarajh2024limits,Towards analyzing and understanding the limitations of DPO,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
zheng2024expo,Weak-to-strong extrapolation expedites alignment,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
zheng2023secrets,Secrets of RLHF,2023,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
dong2024rlhf,RLHF,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
shen2024trickle,The trickle-down impact of reward inconsistency on RLHF,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
thakkar2024tradeoffs,A deep dive into the trade-offs of parameter-efficient preference alignment techniques,2024,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
qi2025shallow,Safety Alignment Should Be Made More Than Just a Few Tokens Deep,2026,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,c
zhao2025dualobjective,Improving LLM,2025,arxiv,included,relevant to axis 'training-time'; passed full-text screening (§3.2),training-time,training-time,training-time,yes,
