method,dimension,score,supporting_papers,evidence_basis
RLHF/PPO,Memory Efficiency,1,"ouyang2022training; zheng2023secrets","4 simultaneous models at 7B = >40 GB FP16; lowest efficiency tier."
RLHF/PPO,Robustness,5,"ouyang2022training; bai2022training; dai2024safe","Top tier in corpus reports on harmfulness benchmarks."
RLHF/PPO,SLM Suitability,1,"ouyang2022training; thakkar2024tradeoffs","Composite memory(1) + data(2) + sub-7B(2) = lowest tier."
RLHF/PPO,Data Efficiency,1,"ouyang2022training; gao2023scaling","Requires ~50-100k preference pairs; lowest tier."
DPO,Memory Efficiency,2,"rafailov2023direct","2x policy memory; high tier."
DPO,Robustness,3,"rafailov2023direct; arditi2024refusal; qi2025shallow","Robust on benchmarks but bypassable via refusal direction; mid tier."
DPO,SLM Suitability,4,"thakkar2024tradeoffs; tunstall2023zephyr; ivison2023tulu","De facto SLM method; second-highest tier."
DPO,Data Efficiency,3,"rafailov2023direct","Standard preference dataset size; mid tier."
IPO,Memory Efficiency,2,"azar2023general","Same memory profile as DPO."
IPO,Robustness,3,"azar2023general","Mid tier in corpus."
IPO,SLM Suitability,4,"azar2023general","Stable on small/noisy data; second-highest tier."
IPO,Data Efficiency,3,"azar2023general","Mid tier."
KTO,Memory Efficiency,2,"ethayarajh2024kto","High tier."
KTO,Robustness,3,"ethayarajh2024kto","Mid tier."
KTO,SLM Suitability,4,"ethayarajh2024kto","Cheap data; second-highest tier."
KTO,Data Efficiency,4,"ethayarajh2024kto","Binary feedback; second-highest tier."
ORPO,Memory Efficiency,4,"hong2024orpo","No reference model; second-highest tier."
ORPO,Robustness,3,"hong2024orpo","On-par with DPO on AlpacaEval; mid tier."
ORPO,SLM Suitability,5,"hong2024orpo","Single-phase + lowest memory; top tier."
ORPO,Data Efficiency,3,"hong2024orpo","Mid tier."
SimPO,Memory Efficiency,4,"meng2024simpo","Same as ORPO."
SimPO,Robustness,3,"meng2024simpo","Mid tier."
SimPO,SLM Suitability,5,"meng2024simpo","Top tier."
SimPO,Data Efficiency,3,"meng2024simpo","Mid tier."
RLAIF,Memory Efficiency,2,"lee2023rlaif; bai2022constitutional","Teacher inference cost; high tier."
RLAIF,Robustness,3,"lee2023rlaif; weaksupervision2026","Bounded by teacher; mid tier."
RLAIF,SLM Suitability,3,"weaksupervision2026; this work","Teacher-quality bottleneck reduces tier; expert synthesis."
RLAIF,Data Efficiency,5,"lee2023rlaif","No human labels needed; top tier."
RepE,Memory Efficiency,5,"zou2023representation","No training cost; top tier."
RepE,Robustness,2,"arditi2024refusal","Coarse signal; second-lowest tier."
RepE,SLM Suitability,5,"zou2023representation; arditi2024refusal","Zero training + quantization compat; top tier."
RepE,Data Efficiency,5,"zou2023representation","No training data needed; top tier."
