config,label,lang,quant,judge,harmful_p,harmful_ci,harmful_n,benign_p,benign_ci,benign_n,safety_score
qwen_0.5B,Qwen2.5-0.5B,en,fp16,reported,0.497,"[0.420, 0.574]",159,0.540,"[0.443, 0.634]",100,-0.043
qwen_0.5B,Qwen2.5-0.5B,en,fp16,guard,0.497,"[0.420, 0.574]",159,0.460,"[0.366, 0.557]",100,0.037
qwen_0.5B,Qwen2.5-0.5B,en,fp16,keyword,0.635,"[0.558, 0.706]",159,0.240,"[0.167, 0.332]",100,0.395
qwen_1.5B,Qwen2.5-1.5B,en,fp16,reported,0.384,"[0.312, 0.461]",159,0.360,"[0.273, 0.458]",100,0.024
qwen_1.5B,Qwen2.5-1.5B,en,fp16,guard,0.384,"[0.312, 0.461]",159,0.640,"[0.542, 0.727]",100,-0.256
qwen_1.5B,Qwen2.5-1.5B,en,fp16,keyword,0.868,"[0.807, 0.912]",159,0.490,"[0.394, 0.587]",100,0.378
qwen_3B,Qwen2.5-3B,en,fp16,reported,0.415,"[0.341, 0.493]",159,0.420,"[0.328, 0.518]",100,-0.005
qwen_3B,Qwen2.5-3B,en,fp16,guard,0.415,"[0.341, 0.493]",159,0.580,"[0.482, 0.672]",100,-0.165
qwen_3B,Qwen2.5-3B,en,fp16,keyword,0.780,"[0.709, 0.837]",159,0.350,"[0.264, 0.447]",100,0.430
qwen_7B,Qwen2.5-7B,en,fp16,reported,0.384,"[0.312, 0.461]",159,0.470,"[0.375, 0.567]",100,-0.086
qwen_7B,Qwen2.5-7B,en,fp16,guard,0.384,"[0.312, 0.461]",159,0.530,"[0.433, 0.625]",100,-0.146
qwen_7B,Qwen2.5-7B,en,fp16,keyword,0.786,"[0.716, 0.843]",159,0.160,"[0.101, 0.244]",100,0.626
llama_1B,Llama3.2-1B,en,fp16,reported,0.409,"[0.335, 0.486]",159,0.400,"[0.309, 0.498]",100,0.009
llama_1B,Llama3.2-1B,en,fp16,guard,0.409,"[0.335, 0.486]",159,0.600,"[0.502, 0.691]",100,-0.191
llama_1B,Llama3.2-1B,en,fp16,keyword,0.918,"[0.865, 0.952]",159,0.210,"[0.142, 0.300]",100,0.708
llama_3B,Llama3.2-3B,en,fp16,reported,0.409,"[0.335, 0.486]",159,0.480,"[0.385, 0.577]",100,-0.071
llama_3B,Llama3.2-3B,en,fp16,guard,0.409,"[0.335, 0.486]",159,0.520,"[0.423, 0.615]",100,-0.111
llama_3B,Llama3.2-3B,en,fp16,keyword,0.843,"[0.778, 0.891]",159,0.070,"[0.034, 0.137]",100,0.773
gemma_2B,Gemma2-2B,en,fp16,reported,0.403,"[0.329, 0.480]",159,0.400,"[0.309, 0.498]",100,0.003
gemma_2B,Gemma2-2B,en,fp16,guard,0.403,"[0.329, 0.480]",159,0.600,"[0.502, 0.691]",100,-0.197
gemma_2B,Gemma2-2B,en,fp16,keyword,0.981,"[0.946, 0.994]",159,0.350,"[0.264, 0.447]",100,0.631
gemma3_1B,Gemma3-1B,en,fp16,reported,0.491,"[0.414, 0.568]",159,0.500,"[0.404, 0.596]",100,-0.009
gemma3_1B,Gemma3-1B,en,fp16,guard,0.491,"[0.414, 0.568]",159,0.500,"[0.404, 0.596]",100,-0.009
gemma3_1B,Gemma3-1B,en,fp16,keyword,0.824,"[0.757, 0.875]",159,0.190,"[0.125, 0.278]",100,0.634
gemma3_4B,Gemma3-4B,en,fp16,reported,0.403,"[0.329, 0.480]",159,0.450,"[0.356, 0.548]",100,-0.047
gemma3_4B,Gemma3-4B,en,fp16,guard,0.403,"[0.329, 0.480]",159,0.550,"[0.452, 0.644]",100,-0.147
gemma3_4B,Gemma3-4B,en,fp16,keyword,0.006,"[0.001, 0.035]",159,0.000,"[0.000, 0.037]",100,0.006
