method,dimension,rating,marker,supporting_papers,evidence_basis
RLHF/PPO,Memory,Very High,direct,"ouyang2022training; dai2024safe; zheng2023secrets","Memory cost reported in source: PPO requires policy + reference + reward + value models simultaneously; >40 GB at 7B FP16 per zheng2023secrets."
RLHF/PPO,Robustness,High,aggregated,"ouyang2022training; bai2022training; dai2024safe","Aggregated from corpus papers reporting RLHF as the strongest single alignment method on harmfulness benchmarks; Safe RLHF dominates in dai2024safe."
RLHF/PPO,SLM Fit,Low,aggregated,"ouyang2022training; thakkar2024tradeoffs","Composite of Memory(1) + data efficiency(2) + sub-7B compatibility(2) per rubric weighting."
DPO,Memory,High,direct,"rafailov2023direct; thakkar2024tradeoffs","Source paper reports policy + reference model = 2x policy memory; ~20-40 GB at 7B FP16."
DPO,Robustness,Medium,aggregated,"rafailov2023direct; arditi2024refusal; qi2025shallow","Aggregated: DPO produces robust alignment on standard benchmarks but is bypassable via refusal direction (arditi) and shallow (qi)."
DPO,SLM Fit,High,aggregated,"thakkar2024tradeoffs; tunstall2023zephyr; ivison2023tulu","De facto method for SLMs in the corpus; LoRA compatible per thakkar."
ORPO/SimPO,Memory,Low,direct,"hong2024orpo; meng2024simpo","Both methods explicitly remove the reference model; ~50% memory reduction stated in source papers."
ORPO/SimPO,Robustness,Medium,aggregated,"hong2024orpo; meng2024simpo","Reported on par with DPO on AlpacaEval/MTBench; safety-specific evaluation limited in source papers."
ORPO/SimPO,SLM Fit,Very High,aggregated,"hong2024orpo; meng2024simpo; chen2024dposurvey","Highest memory efficiency + single-phase training maps to top SLM-fit tier per rubric."
KTO,Memory,Medium,direct,"ethayarajh2024kto","Single-policy training with binary feedback; ~10-20 GB at 7B FP16 per source."
KTO,Robustness,Medium,aggregated,"ethayarajh2024kto","Below paired methods on benchmark agreement but stable; aggregated qualitative report."
KTO,SLM Fit,High,aggregated,"ethayarajh2024kto","Cheap data collection compensates for moderate per-sample quality."
RLAIF,Memory,Medium,aggregated,"lee2023rlaif; bai2022constitutional","Teacher inference cost dominates; aggregated from RLAIF and CAI papers."
RLAIF,Robustness,Medium,aggregated,"lee2023rlaif; weaksupervision2026","Bounded by teacher quality; weaksupervision2026 confirms partial transfer to SLMs."
RLAIF,SLM Fit,Medium,expert,"weaksupervision2026; this work","Teacher-quality bottleneck and multilingual blind-spot propagation reduce score; author synthesis."
RepE,Memory,Minimal,direct,"zou2023representation; arditi2024refusal","Inference-time intervention; no training cost reported in source."
RepE,Robustness,Low,aggregated,"arditi2024refusal; turner2023activation","Coarse single-direction signal; aggregated qualitative reports of bypass via small intervention."
RepE,SLM Fit,Very High,expert,"zou2023representation; arditi2024refusal; this work","Zero training cost + quantization compatibility scores high; persistence below 3B is open question (reflected as expert synthesis)."
