key,title,year,axis
ouyang2022training,Training language models to follow instructions with human feedback,2022,alignment
stiennon2020learning,Learning to summarize with human feedback,2020,alignment
ziegler2019fine,Fine-tuning language models from human preferences,2019,alignment
rafailov2023direct,Direct preference optimization: Your language model is secretly a reward model,2023,alignment
azar2023general,A general theoretical paradigm to understand learning from human feedback,2024,alignment
ethayarajh2024kto,KTO,2024,alignment
hong2024orpo,ORPO,2024,alignment
meng2024simpo,SimPO,2024,alignment
bai2022constitutional,Constitutional AI,2022,alignment
lee2023rlaif,RLAIF,2023,alignment
chen2024spin,Self-play fine-tuning converts weak language models to strong language models,2024,alignment
yuan2024selfrewarding,Self-rewarding language models,2024,alignment
munos2024nash,Nash learning from human feedback,2024,alignment
wu2024sppo,Self-play preference optimization for language model alignment,2024,alignment
rosset2024dno,Direct N,2024,alignment
zou2023representation,Representation engineering: A top-down approach to AI,2023,alignment
arditi2024refusal,Refusal in language models is mediated by a single direction,2024,alignment
turner2023activation,Activation addition: Steering language models without optimization,2023,alignment
dai2024safe,Safe RLHF,2024,alignment
tunstall2023zephyr,Zephyr: Direct distillation of LM,2023,alignment
ivison2023tulu,Camels in a changing climate: Enhancing LM,2023,alignment
liu2024rso,Statistical rejection sampling improves preference optimization,2024,alignment
gao2023scaling,Scaling laws for reward model overoptimization,2023,alignment
tang2024gpo,Generalized preference optimization: A unified approach to offline alignment,2024,alignment
chen2024dposurvey,A comprehensive survey of direct preference optimization,2024,alignment
ethayarajh2024limits,Towards analyzing and understanding the limitations of DPO,2024,alignment
zheng2024expo,Weak-to-strong extrapolation expedites alignment,2024,alignment
zheng2023secrets,Secrets of RLHF,2023,alignment
dong2024rlhf,RLHF,2024,alignment
shen2024trickle,The trickle-down impact of reward inconsistency on RLHF,2024,alignment
thakkar2024tradeoffs,A deep dive into the trade-offs of parameter-efficient preference alignment techniques,2024,alignment
qi2025shallow,Safety Alignment Should Be Made More Than Just a Few Tokens Deep,2026,alignment
zhao2025dualobjective,Improving LLM,2025,alignment
safetyarithmetic2025,Safety Arithmetic: A Framework for Test-time Safety Alignment by Steering Parameters and Activations,2025,alignment
weaksupervision2026,Can Safety Emerge from Weak Supervision? A Systematic Analysis of Small Language Models,2026,alignment
inan2023llamaguard,Llama Guard,2023,alignment
rebedea2023nemo,NeMo Guardrails,2023,alignment
han2024wildguard,WildGuard,2024,alignment
sharma2025constitutional,Constitutional Classifiers: Defending against Universal Jailbreaks across Thousands of Hours of Red Teaming,2025,alignment
nakka2025litelmguard,LiteLMGuard,2025,alignment
krishna2025dsa,Disentangled safety adapters enable efficient guardrails and flexible inference-time alignment,2025,alignment
gehman2020realtoxicity,RealToxicityPrompts,2020,benchmarks
hartvigsen2022toxigen,ToxiGen,2022,benchmarks
lin2022truthfulqa,TruthfulQA,2022,benchmarks
parrish2022bbq,BBQ,2022,benchmarks
nadeem2021stereoset,StereoSet,2021,benchmarks
nangia2020crows,CrowS-Pairs,2020,benchmarks
dhamala2021bold,BOLD,2021,benchmarks
sheng2019regard,The woman worked as a babysitter: On biases in language generation,2019,benchmarks
zhao2018winobias,Gender bias in coreference resolution: Evaluation and debiasing methods,2018,benchmarks
